P32368	A0A061ACG4
Q08957	Q8WQF7
P40366	Q8WQG9
P43588	Q8WQL7
Q08924	Q8WSN6
P53272	Q8WSZ5
Q04438	Q8WT44
P39932	Q8WT45
P17695	Q8WTJ8
P35181	Q8WTL3
Q03246	Q8WTL6
P38777	Q8WTM0
P38167	Q8WTM6
P14741	Q93156
P50082	Q93161
Q04410	Q93167
P33314	Q93168
Q07986	Q93169
P14736	Q93198
P39008	Q93203
Q04231	Q93204
P53203	Q93209
Q04958	Q93212
P33755	Q93228
Q05521	Q93230
P38427	Q93233
P15624	Q93235
P40015	Q93238
P32794	Q93244
P23179	Q93249
P80967	Q93289
P38878	Q93315
P38888	Q93321
P39978	Q93329
Q12432	Q93338
P38628	Q93339
P32573	Q93343
Q3E790	Q93345
P0CX61	Q93346
P09032	Q93348
Q07793	Q93352
Q02933	Q93353
Q99332	Q93367
P0CX20	Q93379
Q04601	Q93381
P32604	Q93382
P46945	Q93410
P32468	Q93413
P38227	Q93425
Q02932	Q93442
P38013	Q93454
P48236	Q93456
P38195	Q93459
P38072	Q93510
Q08491	Q93511
P37261	Q93517
Q07844	Q93520
Q08930	Q93522
Q03231	Q93533
P03881	Q93535
Q12089	Q93538
Q04511	Q93545
Q99337	Q93548
P53727	Q93556
P40449	Q93560
P34163	Q93561
Q05809	Q93565
P53907	Q93568
Q12359	Q93571
P42945	Q93572
P54784	Q93573
P30777	Q93575
P53261	Q93576
P16664	Q93594
Q05498	Q93615
P38625	Q93616
P39904	Q93619
Q12314	Q93635
P43582	Q93641
P38970	Q93646
P24719	Q93654
P47135	Q93694
P41896	Q93697
P04710	Q93703
P38216	Q93705
P51533	Q93712
P30665	Q93714
P40413	Q93716
P38082	Q93717
P43603	Q93725
P40165	Q93726
Q3E815	Q93732
P33748	Q93758
P40083	Q93759
P38194	Q93761
P53167	Q93781
P36007	Q93791
P38800	Q93794
P18898	Q93830
P32485	Q93831
Q99188	Q93833
Q12531	Q93838
P36155	Q93839
P38861	Q93873
P49018	Q93874
P48564	Q93895
P54839	Q93899
P39011	Q93903
P38110	Q93906
P18414	Q93930
O14455	Q93934
P42937	Q93968
Q08422	Q94045
P23776	Q94046
P40036	Q94050
P53238	Q94051
Q03430	Q94055
P05373	Q94057
P30606	Q94071
P52891	Q94124
P10566	Q94125
P39729	Q94126
Q12215	Q94129
P27466	Q94131
P36421	Q94148
P40583	Q94184
P32318	Q94188
P01120	Q94207
Q05518	Q94216
P32771	Q94218
P53054	Q94222
P32861	Q94230
P36137	Q94234
P36138	Q94239
Q04121	Q94241
Q99316	Q94246
Q03855	Q94248
P38876	Q94251
Q03829	Q94259
P07259	Q94261
Q06134	Q94269
P25626	Q94271
P05747	Q94272
P25270	Q94300
Q08045	Q94312
P42839	Q94316
P35194	Q94360
Q07653	Q94361
P36114	Q94392
P53044	Q94398
P09201	Q94402
Q08496	Q94416
Q12221	Q94417
P32588	Q94420
P0CX36	Q95005
P38988	Q95008
Q12530	Q95011
P33302	Q95017
P53117	Q95018
P81450	Q95NM6
Q03289	Q95PV7
P06787	Q95PX0
P00425	Q95PX9
P32460	Q95PY8
Q12143	Q95PZ0
Q08444	Q95PZ1
P38241	Q95PZ4
P80235	Q95PZ6
Q08902	Q95Q00
Q12150	Q95Q05
P36141	Q95Q08
P10127	Q95Q11
P47158	Q95Q17
P0CX74	Q95Q27
P38844	Q95Q57
Q02786	Q95Q58
Q12039	Q95Q62
Q07824	Q95Q95
P33734	Q95Q98
P61830	Q95QA6
Q05955	Q95QB1
P32529	Q95QB3
P13186	Q95QC4
P12630	Q95QD9
P11710	Q95QF1
P53875	Q95QG8
P31383	Q95QI2
Q06405	Q95QI6
P43579	Q95QI7
P38009	Q95QJ7
P40342	Q95QK5
Q08561	Q95QL1
P38238	Q95QL3
P33411	Q95QN1
P47821	Q95QN2
Q12301	Q95QN6
Q12021	Q95QQ2
P40154	Q95QQ5
Q3E818	Q95QQ6
P37263	Q95QQ9
P50108	Q95QR3
Q12513	Q95QR6
P38237	Q95QS3
P25579	Q95QT4
P48526	Q95QT8
Q02733	Q95QU0
P42845	Q95QU3
P14284	Q95QV8
P47118	Q95QY0
P22943	Q95QZ3
Q00916	Q95R07
P26263	Q95R14
P14843	Q95V25
P46982	Q95X11
P38759	Q95X32
P40492	Q95X36
P14742	Q95X44
P0CX18	Q95X85
P38793	Q95X94
P34230	Q95XA0
Q04344	Q95XA8
P40042	Q95XC1
Q12734	Q95XC8
P32832	Q95XD0
P32898	Q95XD1
P0C2H7	Q95XD4
Q12156	Q95XG7
Q04562	Q95XH2
P40825	Q95XJ0
P39981	Q95XJ4
P53223	Q95XJ7
P42840	Q95XK1
P53192	Q95XK2
P45820	Q95XK4
P39682	Q95XL1
P25594	Q95XL6
P36069	Q95XL9
P53865	Q95XM4
P53273	Q95XM5
P17119	Q95XM9
P40364	Q95XN0
P21269	Q95XN1
P23641	Q95XN2
P38282	Q95XN5
P21827	Q95XN6
P40857	Q95XP4
P33203	Q95XP9
P21192	Q95XQ1
P40161	Q95XQ8
P40477	Q95XR0
P11747	Q95XR1
P0CE87	Q95XR3
P16547	Q95XR4
P42836	Q95XR6
P25648	Q95XS0
P47141	Q95XS1
P53335	Q95XS2
Q06337	Q95XT5
P38766	Q95XU6
P40075	Q95XW5
Q12129	Q95XW7
P38853	Q95XX0
Q12500	Q95XX1
Q03957	Q95XX5
P40059	Q95XZ0
P38142	Q95XZ1
Q03233	Q95XZ5
P38779	Q95Y04
P18759	Q95Y13
P40063	Q95Y26
P53437	Q95Y27
P43572	Q95Y28
P38783	Q95Y29
P32344	Q95Y35
Q12393	Q95Y41
Q3E7A7	Q95Y49
P40470	Q95Y51
Q06623	Q95Y69
P34072	Q95Y80
P32528	Q95Y84
P47771	Q95Y85
Q03697	Q95Y89
P25294	Q95Y90
P28496	Q95Y97
Q06820	Q95YA5
P33313	Q95YA9
P36526	Q95YB2
P41817	Q95YC4
P40159	Q95YC6
P53552	Q95YD2
P17883	Q95YD5
P53733	Q95YD8
P38181	Q95YD9
P40164	Q95YE2
P14724	Q95YE6
Q08448	Q95YE7
P47108	Q95YF1
P38286	Q95YF3
P54005	Q95ZI6
P36001	Q95ZI9
Q04195	Q95ZJ1
P23644	Q95ZK7
P29366	Q95ZQ4
P20457	Q95ZQ5
P17121	Q95ZV5
P38704	Q95ZV7
P50087	Q95ZV8
Q06177	Q95ZW2
P43594	Q95ZW3
P40058	Q95ZW7
Q03096	Q95ZY1
Q12284	Q965G5
P54783	Q965H3
P33200	Q965K3
P43583	Q965K5
P32906	Q965L0
P35183	Q965M2
P43634	Q965M4
Q03768	Q965N4
P38835	Q965N8
Q06508	Q965P0
Q12692	Q965Q1
Q08416	Q965Q6
P15365	Q965Q8
P0CF34	Q965R3
P34077	Q965S0
P52553	Q965S3
Q00539	Q965S8
P35729	Q965T2
P48231	Q965T4
Q12106	Q965T6
P23615	Q965V4
Q06116	Q965V9
P47123	Q965W3
P43621	Q965X6
Q12428	Q965Y7
Q04429	Q965Z4
P40544	Q965Z8
P40457	Q966C6
P22202	Q966C7
Q03503	Q966E2
Q08219	Q966G8
P22133	Q966H8
P53136	Q966I8
P22134	Q966J6
Q03193	Q966J7
P53219	Q966L2
P31787	Q966L5
Q12491	Q966L6
P39966	Q966L9
P54070	Q966M4
Q04893	Q966M5
P40064	Q966M6
P53725	Q967F1
Q06493	Q967F4
P17064	Q968Y9
P38283	Q9BHK7
P38801	Q9BHL3
P18562	Q9BI71
Q04062	Q9BI74
P38954	Q9BI86
Q06385	Q9BI88
Q07549	Q9BI89
Q05676	Q9BIA4
P52490	Q9BIB3
P07252	Q9BIB4
P32340	Q9BIB8
P38857	Q9BIC2
P34756	Q9BIC3
P22216	Q9BIF4
P53897	Q9BIG4
P47044	Q9BKP8
P33419	Q9BKQ5
Q12455	Q9BKQ6
P00912	Q9BKQ7
P40080	Q9BKQ9
P39542	Q9BKR0
Q12362	Q9BKR5
Q04489	Q9BKS0
Q01519	Q9BKS1
P32773	Q9BKS4
Q99383	Q9BKU3
Q06685	Q9BKU4
Q12749	Q9BKU6
Q12483	Q9BKX7
Q06488	Q9BKZ8
P47163	Q9BKZ9
P0CX51	Q9BL03
P53124	Q9BL05
Q08991	Q9BL17
P10664	Q9BL19
P40416	Q9BL26
P30619	Q9BL27
P38153	Q9BL29
P13393	Q9BL33
Q06205	Q9BL34
P40535	Q9BL39
P28791	Q9BL45
P12887	Q9BL46
Q04431	Q9BL48
P40447	Q9BL53
P40088	Q9BL54
P0CY09	Q9BL56
P32768	Q9BL57
P36121	Q9BL58
Q12490	Q9BL60
P25606	Q9BL61
P38254	Q9BL64
Q12046	Q9BL68
Q06350	Q9BL72
Q12216	Q9BL81
P69771	Q9BL83
P36973	Q9BL86
Q05791	Q9BL94
P38785	Q9BLB6
P35731	Q9BLC2
P17261	Q9BLC3
P56628	Q9BLC4
P53118	Q9BMK9
P32432	Q9BMN8
P53687	Q9BMU4
P40491	Q9BPN5
P0C2I2	Q9BPN6
P22434	Q9BPN8
Q05580	Q9BPP1
Q92392	Q9GN62
Q06834	Q9GPA0
P54781	Q9GPA1
P32867	Q9GR61
Q12248	Q9GRV2
Q08558	Q9GRV5
Q03640	Q9GRY9
P04046	Q9GRZ0
P16892	Q9GRZ1
P43590	Q9GRZ2
P40451	Q9GRZ5
P40495	Q9GRZ9
Q08162	Q9GS00
P38339	Q9GSX9
P21243	Q9GT24
P0CX69	Q9GTD4
Q03818	Q9GUB8
Q08484	Q9GUC8
Q05471	Q9GUF2
P36532	Q9GUG4
Q07879	Q9GUI5
Q04082	Q9GUM2
P38738	Q9GUM5
Q03713	Q9GYF1
P07278	Q9GYG1
P38913	Q9GYG2
Q8TGK4	Q9GYG4
P28273	Q9GYH7
Q12440	Q9GYH9
P36531	Q9GYI1
Q06148	Q9GYI4
P39692	Q9GYJ3
P40515	Q9GYJ9
P29703	Q9GYK1
P36097	Q9GYK2
Q12045	Q9GYK4
P23643	Q9GYL3
P32621	Q9GYM4
P07271	Q9GYM9
P25354	Q9GYN3
P38067	Q9GYN8
Q12155	Q9GYQ8
P32491	Q9GYR2
P53732	Q9GYR5
P51862	Q9GYS1
P53830	Q9GYT4
P25039	Q9GZD5
P53747	Q9GZE0
P46670	Q9GZE9
P35195	Q9GZF9
P07272	Q9GZG1
P40186	Q9GZG8
P15705	Q9GZH2
P38164	Q9GZH3
P52593	Q9GZH4
P23639	Q9GZH5
Q07987	Q9GZI0
Q02983	Q9GZI7
P38745	Q9N2K7
Q05359	Q9N2L7
Q3E838	Q9N2T6
Q04199	Q9N2U6
P38714	Q9N2V2
P38765	Q9N2V6
P14772	Q9N2W4
Q12408	Q9N2W5
P53874	Q9N2W7
P15807	Q9N2W9
P18412	Q9N2X3
Q03920	Q9N2Z7
P47171	Q9N300
P47140	Q9N302
P16661	Q9N303
P53685	Q9N312
Q3E6R4	Q9N338
P39726	Q9N341
P25657	Q9N357
P34216	Q9N358
P36015	Q9N359
P36533	Q9N360
Q05567	Q9N361
P21771	Q9N362
P26754	Q9N363
P32874	Q9N368
P40065	Q9N373
Q03790	Q9N384
P38324	Q9N390
P30402	Q9N392
P40091	Q9N393
P09950	Q9N394
P38319	Q9N3C6
P38177	Q9N3C9
P21304	Q9N3D9
P47164	Q9N3E8
P32570	Q9N3F0
Q04213	Q9N3F1
Q03254	Q9N3F2
Q06406	Q9N3F3
Q06410	Q9N3F4
P34227	Q9N3F7
P32486	Q9N3G0
Q12159	Q9N3H3
P46947	Q9N3H6
Q06625	Q9N3I5
P38734	Q9N3P1
P32791	Q9N3P6
P40008	Q9N3Q8
P53204	Q9N3Q9
P0CX37	Q9N3S2
P39520	Q9N3S4
Q12269	Q9N3S7
Q10740	Q9N3S8
P36145	Q9N3T2
P06700	Q9N3T5
P20438	Q9N3T6
P40541	Q9N3T8
P53924	Q9N3U2
P27616	Q9N3V3
Q12499	Q9N3X2
P38894	Q9N3X3
P17065	Q9N3Y1
P40500	Q9N3Y3
P32459	Q9N3Y4
Q06524	Q9N3Y9
Q07807	Q9N3Z0
P40344	Q9N3Z3
Q07791	Q9N408
Q03833	Q9N410
P14066	Q9N412
P53082	Q9N423
P47077	Q9N425
P43636	Q9N431
P35207	Q9N456
P53323	Q9N474
P36136	Q9N477
P48237	Q9N492
P07342	Q9N4A7
P25847	Q9N4A9
Q03063	Q9N4B8
Q04383	Q9N4C1
Q03177	Q9N4C2
P53293	Q9N4C3
P49090	Q9N4C6
P47016	Q9N4D0
P38318	Q9N4D6
P53227	Q9N4D9
P53729	Q9N4E2
P21801	Q9N4E9
Q03702	Q9N4F0
P42946	Q9N4F2
Q08831	Q9N4F3
P25356	Q9N4F4
Q08412	Q9N4G8
P53276	Q9N4G9
Q00578	Q9N4H4
P53283	Q9N4H6
P0CX48	Q9N4H7
P40526	Q9N4H8
P38790	Q9N4H9
P38248	Q9N4I0
P53894	Q9N4I1
P38985	Q9N4I3
Q12176	Q9N4I4
P53617	Q9N4J8
Q03067	Q9N4K0
P53142	Q9N4K2
P38719	Q9N4L8
P50278	Q9N4L9
P19736	Q9N4M4
P16965	Q9N4N4
P17214	Q9N4P3
P48606	Q9N4Q7
Q07527	Q9N4S0
P38818	Q9N4T2
Q06063	Q9N4U4
P32461	Q9N4U5
Q12451	Q9N4V0
Q08692	Q9N4V2
P38794	Q9N4W8
P25046	Q9N4X2
Q07508	Q9N4X8
P53849	Q9N4Y8
Q04658	Q9N4Z0
Q02100	Q9N4Z2
Q08553	Q9N534
P38622	Q9N536
Q03784	Q9N537
P0CY11	Q9N563
Q01926	Q9N566
P39933	Q9N574
P39529	Q9N575
Q12277	Q9N576
P38114	Q9N580
P38313	Q9N582
P40361	Q9N584
Q00776	Q9N585
P40575	Q9N587
P01119	Q9N588
P21651	Q9N592
P53312	Q9N593
P53169	Q9N595
P0CX25	Q9N599
P38956	Q9N5A0
P38912	Q9N5A2
P46988	Q9N5A8
Q05998	Q9N5B1
P38747	Q9N5B3
Q03730	Q9N5C4
P15179	Q9N5D3
P02407	Q9N5D6
Q06991	Q9N5E3
P23248	Q9N5E4
P0CX27	Q9N5G0
Q12697	Q9N5G3
P40016	Q9N5K2
Q12063	Q9N5K3
P40571	Q9N5K4
P54854	Q9N5L4
Q08954	Q9N5L9
P46675	Q9N5M0
Q12527	Q9N5M2
P50086	Q9N5M6
P32803	Q9N5R9
Q06525	Q9N5S3
Q03435	Q9N5S5
Q12208	Q9N5S7
P38331	Q9N5S9
Q06109	Q9N5U5
P20436	Q9N5V3
P23724	Q9N5X2
P40066	Q9N5X6
P38293	Q9N5Y2
P27654	Q9NA25
P24867	Q9NA26
P53397	Q9NA39
P51401	Q9NA51
Q06214	Q9NA56
P20676	Q9NA61
Q12069	Q9NA71
P38815	Q9NA74
Q12508	Q9NA77
P11353	Q9NA78
P54867	Q9NA84
P38819	Q9NA87
Q12470	Q9NA92
Q06668	Q9NAB0
P46997	Q9NAB2
P53859	Q9NAB3
P38708	Q9NAB4
Q9ZZX1	Q9NAC1
Q12125	Q9NAC5
P07246	Q9NAD6
P46965	Q9NAE1
P13711	Q9NAE2
P38011	Q9NAE4
P38869	Q9NAE9
Q03099	Q9NAG2
P53858	Q9NAG4
P53958	Q9NAH3
Q03218	Q9NAH4
P53898	Q9NAH6
O74700	Q9NAH7
P39706	Q9NAH8
Q12179	Q9NAL4
P09798	Q9NAM2
P39924	Q9NAM7
P35169	Q9NAN2
P87287	Q9NAP0
P47033	Q9NAP8
P34217	Q9NAP9
P54862	Q9NAQ2
Q12318	Q9NB31
P33299	Q9NDC9
P27636	Q9NEL2
Q04693	Q9NEN6
P29509	Q9NEQ5
P14906	Q9NES7
P32608	Q9NES8
P35845	Q9NET8
P16120	Q9NEU2
Q03750	Q9NEU5
Q03761	Q9NEW6
P38224	Q9NEW7
P36122	Q9NEX2
P25045	Q9NEY7
P40084	Q9NEZ5
P12866	Q9NEZ7
Q03673	Q9NEZ8
Q07532	Q9NF11
P39742	Q9NF14
P10356	Q9NF71
P32939	Q9NGT3
P49686	Q9NH52
P0CT04	Q9NHC3
P26793	Q9NHZ6
P40971	Q9NL29
P0CX14	Q9NLC2
P38130	Q9NLD1
P53904	Q9TVL3
P25298	Q9TVY6
P06839	Q9TW45
P53289	Q9TW65
P47026	Q9TW67
P69852	Q9TXH9
Q12518	Q9TXI3
Q07478	Q9TXI4
P38776	Q9TXI7
P53150	Q9TXJ0
P36039	Q9TXJ8
P29055	Q9TXM1
Q08729	Q9TXM9
P05756	Q9TXN8
P26321	Q9TXP0
P40851	Q9TXP5
P53090	Q9TXQ1
P07236	Q9TXQ8
P53975	Q9TXQ9
Q03161	Q9TXR4
Q12205	Q9TXT1
Q12035	Q9TXU7
P38987	Q9TXV1
P52920	Q9TXW1
Q08968	Q9TXW5
P25846	Q9TXY8
P40152	Q9TXZ7
P38231	Q9TXZ9
Q03434	Q9TY03
Q06156	Q9TYJ0
O60200	Q9TYJ2
P39983	Q9TYJ3
P28263	Q9TYJ7
Q03429	Q9TYJ8
P05626	Q9TYK1
Q08179	Q9TYL9
Q06152	Q9TYM3
Q06070	Q9TYM6
P53208	Q9TYN2
Q02785	Q9TYN3
P38731	Q9TYN4
P46669	Q9TYQ1
P03877	Q9TYQ2
P38211	Q9TYR0
Q06673	Q9TYS1
Q03758	Q9TYS3
P00175	Q9TYS8
P40035	Q9TYT0
P40023	Q9TYT4
Q3E705	Q9TYU5
Q08109	Q9TYU9
P13185	Q9TYV3
Q02208	Q9TYV5
P38694	Q9TYX1
P50896	Q9TYX9
P38202	Q9TZ33
P21623	Q9TZ37
P40917	Q9TZ50
Q3E757	Q9TZ58
P36008	Q9TZ64
Q05942	Q9TZ68
P06101	Q9TZ69
P40460	Q9TZ84
P40560	Q9TZ87
P38273	Q9TZ90
P00331	Q9TZ93
P38849	Q9TZ99
Q3E7Z5	Q9TZA6
P40559	Q9TZA7
Q08726	Q9TZB8
P32367	Q9TZC4
P42841	Q9TZE1
P47119	Q9TZE4
P35056	Q9TZE7
Q6B2I9	Q9TZG2
P38841	Q9TZH9
Q08641	Q9TZI2
Q08742	Q9TZI4
P36025	Q9TZK3
P33334	Q9TZK8
Q12502	Q9TZK9
Q03558	Q9TZL8
P39010	Q9TZM9
Q04935	Q9TZN2
P47181	Q9TZP5
P33754	Q9TZQ3
P53212	Q9U1Q3
P32910	Q9U1Q4
Q3E837	Q9U1Q6
P0CX81	Q9U1R0
P89105	Q9U1R1
P40963	Q9U1S1
P40585	Q9U1S7
P53622	Q9U1T6
P47153	Q9U1U3
P47172	Q9U1U4
Q02864	Q9U1V0
P38300	Q9U1W0
P32610	Q9U1W1
P14832	Q9U1W2
Q04272	Q9U1W5
P40368	Q9U1W8
Q07904	Q9U1X0
Q08732	Q9U1X3
P29029	Q9U1X6
P40025	Q9U1X7
Q02326	Q9U1X9
Q12191	Q9U1Y5
Q05016	Q9U1Y6
P38180	Q9U1Z4
P43539	Q9U1Z9
P28239	Q9U203
P25583	Q9U210
P31373	Q9U211
P20433	Q9U213
Q12266	Q9U217
P0CX85	Q9U221
P38631	Q9U226
P40434	Q9U228
P32807	Q9U229
P43552	Q9U231
P50263	Q9U234
P00498	Q9U235
Q03942	Q9U237
P47122	Q9U238
P53163	Q9U241
P53832	Q9U243
P47008	Q9U255
P35842	Q9U257
P38749	Q9U263
P53134	Q9U267
P42947	Q9U280
Q04806	Q9U281
P36154	Q9U283
P48015	Q9U284
P50874	Q9U285
P47023	Q9U287
O13297	Q9U294
P36086	Q9U296
Q03674	Q9U297
P39007	Q9U299
P09440	Q9U2A8
P38115	Q9U2A9
Q08225	Q9U2C2
P46954	Q9U2C3
Q99325	Q9U2C9
Q01919	Q9U2D2
P35193	Q9U2D6
P30771	Q9U2D9
P36173	Q9U2F2
P00812	Q9U2F5
P38307	Q9U2F6
P39516	Q9U2G0
P25580	Q9U2G4
P57744	Q9U2G6
P53123	Q9U2G8
Q6B2U8	Q9U2H7
P47019	Q9U2H9
P38276	Q9U2I0
P47161	Q9U2I4
Q04632	Q9U2K7
P23255	Q9U2K8
Q06490	Q9U2L2
P53094	Q9U2M1
Q04373	Q9U2M4
P07286	Q9U2M5
P34161	Q9U2M7
P32629	Q9U2M8
P34228	Q9U2N7
P40959	Q9U2P0
P36070	Q9U2Q1
P53743	Q9U2Q8
P40482	Q9U2Q9
P53036	Q9U2R6
P38260	Q9U2S4
P25364	Q9U2T0
Q04430	Q9U2U9
P39944	Q9U2W8
P16861	Q9U2X0
Q04399	Q9U2X1
P43569	Q9U2Y1
P36117	Q9U2Y2
P15436	Q9U2Z0
P36013	Q9U2Z1
P00330	Q9U2Z5
Q07457	Q9U302
P40989	Q9U304
P06786	Q9U308
P53925	Q9U310
P43586	Q9U329
P0CX45	Q9U332
P38191	Q9U334
P40072	Q9U354
P32487	Q9U364
P13259	Q9U367
P43600	Q9U380
P39928	Q9U384
Q04991	Q9U3A1
P22219	Q9U3B4
P32844	Q9U3B7
P48510	Q9U3C8
P23493	Q9U3D4
Q12457	Q9U3D6
P40467	Q9U3F2
P11076	Q9U3F4
P40446	Q9U3F8
Q02771	Q9U3H4
P53115	Q9U3I0
Q3E756	Q9U3I7
Q12529	Q9U3J3
P38141	Q9U3J8
P38149	Q9U3K2
P32828	Q9U3L5
P47034	Q9U3M7
P38152	Q9U3N4
P36080	Q9U3N5
P20486	Q9U3R5
P42835	Q9U3S3
P40014	Q9U3S5
P35997	Q9U489
P53750	Q9U539
P09368	Q9U5C0
P53900	Q9U5C2
P53164	Q9U6P6
P38229	Q9U757
P37297	Q9U9K0
Q12088	Q9U9Y8
Q3E7Z8	Q9UA62
P38219	Q9UAQ6
P38736	Q9UAT1
Q8TGJ0	Q9UAU7
P33324	Q9UAV5
P53906	Q9UAX0
P32191	Q9UAY0
P43557	Q9UAY5
P13586	Q9UAY9
P36104	Q9UAZ2
P17106	Q9UB00
P53982	Q9UB01
P40169	Q9UB02
P31688	Q9UB28
Q07921	Q9XTB2
P40478	Q9XTB5
P26188	Q9XTC6
P05750	Q9XTF3
P53344	Q9XTG1
P50105	Q9XTG7
P32342	Q9XTI0
Q08970	Q9XTQ6
P43611	Q9XTQ7
P42222	Q9XTR1
Q04179	Q9XTS0
P46671	Q9XTS1
P32639	Q9XTT4
P04449	Q9XTT9
P14682	Q9XTU3
Q02630	Q9XTU6
P09435	Q9XTU9
P32842	Q9XTV4
P38875	Q9XTV6
A5Z2X5	Q9XTW2
P32863	Q9XTY3
P40032	Q9XTY6
P38604	Q9XTY9
Q04739	Q9XTZ1
P50275	Q9XTZ2
P53241	Q9XU10
Q12274	Q9XU15
Q99189	Q9XU42
Q12472	Q9XU45
Q12355	Q9XU56
Q04638	Q9XU67
P39684	Q9XU81
P43538	Q9XU84
P47056	Q9XU92
P53331	Q9XU97
P38716	Q9XU98
P39073	Q9XUB2
P30283	Q9XUB3
P47062	Q9XUB4
P07266	Q9XUB6
P38429	Q9XUB7
P53058	Q9XUB9
P13517	Q9XUC2
P53338	Q9XUD8
Q12236	Q9XUE5
P53304	Q9XUE9
Q08750	Q9XUG9
P32622	Q9XUH7
P53583	Q9XUJ2
P32644	Q9XUK2
Q05024	Q9XUK7
P30624	Q9XUN9
P36056	Q9XUP3
Q08285	Q9XUP4
P46944	Q9XUP7
Q12209	Q9XUP8
P43570	Q9XUR4
Q06179	Q9XUS2
P46972	Q9XUS6
P36044	Q9XUS7
Q02948	Q9XUS9
P30952	Q9XUT0
P36019	Q9XUU1
P38932	Q9XUU2
P40514	Q9XUU5
P07277	Q9XUU8
P40055	Q9XUV0
P25623	Q9XUW5
P38729	Q9XUW7
P0CH08	Q9XUW9
P43564	Q9XUY5
Q12273	Q9XV35
Q05867	Q9XV36
P38760	Q9XV44
Q06506	Q9XV46
Q06160	Q9XV52
Q07351	Q9XV56
P40095	Q9XV73
P53111	Q9XV95
P38623	Q9XVA3
Q12746	Q9XVA8
P32660	Q9XVC5
Q12253	Q9XVC9
P32617	Q9XVD5
P00127	Q9XVE5
P00163	Q9XVE6
P38877	Q9XVE7
P39730	Q9XVE9
Q03083	Q9XVF1
P14126	Q9XVF7
P40588	Q9XVG7
P42950	Q9XVG8
Q04210	Q9XVH3
P32497	Q9XVH6
Q06568	Q9XVI2
P18900	Q9XVI9
P25372	Q9XVJ2
P36049	Q9XVJ3
Q04705	Q9XVK0
Q3E762	Q9XVK4
P36521	Q9XVK5
Q12232	Q9XVL1
Q12057	Q9XVL8
P38150	Q9XVM7
Q12262	Q9XVN3
P53866	Q9XVN4
Q12464	Q9XVP0
Q04925	Q9XVP7
Q08474	Q9XVQ2
P43635	Q9XVQ9
Q12108	Q9XVR3
P53881	Q9XVR7
Q12514	Q9XVR8
P53873	Q9XVS0
P40358	Q9XVS1
Q05080	Q9XVS2
Q03205	Q9XVS3
P43555	Q9XVS7
P48565	Q9XVS8
P53939	Q9XVT0
P25613	Q9XVT2
P23337	Q9XVU2
P38854	Q9XVU5
P00942	Q9XVV3
P00856	Q9XVX5
Q12031	Q9XVX8
P39000	Q9XVY7
P53869	Q9XVZ6
P49573	Q9XW01
Q99210	Q9XW10
P53035	Q9XW12
P38929	Q9XW13
P40160	Q9XW16
P40319	Q9XW17
P47104	Q9XW18
Q03362	Q9XW20
P32478	Q9XW21
Q04223	Q9XW26
Q05778	Q9XW37
P40156	Q9XW38
P12686	Q9XW41
Q06628	Q9XW58
P07255	Q9XW63
Q02891	Q9XW67
P53950	Q9XW68
P47061	Q9XW70
P49089	Q9XW78
P19807	Q9XW79
Q01159	Q9XW80
P33759	Q9XW88
P12695	Q9XW92
P38962	Q9XW93
P22696	Q9XWC9
Q06409	Q9XWD1
P40987	Q9XWD5
Q02197	Q9XWD6
P53271	Q9XWE6
P53077	Q9XWF2
P33328	Q9XWF5
Q12008	Q9XWF6
Q03764	Q9XWF9
P50095	Q9XWG2
P53892	Q9XWG6
Q6WNK7	Q9XWH0
Q3E7B7	Q9XWH3
P54791	Q9XWH5
Q07896	Q9XWI6
P0CW40	Q9XWJ1
P25036	Q9XWJ5
P10080	Q9XWJ8
P53724	Q9XWK0
P38930	Q9XWK2
P38354	Q9XWK3
P46959	Q9XWK6
Q3E840	Q9XWL1
Q03786	Q9XWM0
P38120	Q9XWM1
Q2V2P6	Q9XWM2
Q12418	Q9XWN3
P37012	Q9XWN6
P00427	Q9XWN7
Q02770	Q9XWP0
P53057	Q9XWP3
P08525	Q9XWP6
Q6Q560	Q9XWP7
P22035	Q9XWQ1
P38826	Q9XWQ6
Q12230	Q9XWR1
Q12026	Q9XWS0
P38315	Q9XWS2
P41058	Q9XWS3
Q06340	Q9XWS6
P40463	Q9XWT3
Q12433	Q9XWT5
P38235	Q9XWU2
Q12438	Q9XWU3
P32775	Q9XWV0
P39732	Q9XWV2
P27999	Q9XWV3
P15019	Q9XWV4
P38972	Q9XWV7
P07285	Q9XWW1
P25625	Q9XWX6
P38746	Q9XWZ2
Q04706	Q9XX00
P37898	Q9XX14
Q06132	Q9XX15
P50277	Q9XX16
P35999	Q9XX25
P53059	Q9XX38
P53277	Q9XX47
Q8TGK0	Q9XX55
P33448	Q9XX56
P06103	Q9XX57
P38700	Q9XX95
P39990	Q9XXA2
Q03266	Q9XXA7
Q04734	Q9XXB1
P32566	Q9XXC3
Q06466	Q9XXC8
Q07953	Q9XXD0
P24309	Q9XXD3
P38828	Q9XXD4
Q6Q5X2	Q9XXE5
P40302	Q9XXF9
P53309	Q9XXH8
P36037	Q9XXI0
P53048	Q9XXI4
P08018	Q9XXI9
P43615	Q9XXJ0
P40523	Q9XXJ1
Q03028	Q9XXJ2
P06105	Q9XXK1
Q03210	Q9XXK9
P35179	Q9XXL3
P0CX73	Q9XXN2
P38124	Q9XXN4
